benchmark,SHiP_mpki_reduction_pct,SHiP_speedup_pct,Hawkeye_mpki_reduction_pct,Hawkeye_speedup_pct,Mockingjay_mpki_reduction_pct,Mockingjay_speedup_pct
astar_163B,-9.1578,-1.7466,18.4734,3.2326,35.1012,6.3190
bzip2_259B,24.7586,10.0678,22.0920,7.9994,28.6281,13.0161
cactusADM_1495B,17.3592,13.4584,24.0901,7.5886,33.9357,25.3452
calculix_2670B,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
gcc_39B,1.5252,0.1557,0.6247,0.0866,0.3562,0.0314
GemsFDTD_712B,-2.9520,-2.4283,1.5456,1.4780,2.1843,2.1975
gobmk_60B,0.3523,-0.0038,-0.2088,-0.0287,0.5252,0.0029
gromacs_0B,0.3777,0.0162,0.1977,0.0055,0.5051,0.0041
h264ref_178B,24.0200,1.1028,10.0700,1.8388,34.8068,3.1043
hmmer_546B,53.7212,0.7170,31.8086,0.3390,43.7536,0.4985
lbm_94B,0.0499,0.6138,-0.0025,0.5190,28.7950,19.4490
leslie3d_1116B,-1.4965,-0.8874,9.0119,3.9342,10.3836,5.1229
libquantum_1735B,5.6843,5.0571,5.5985,6.0740,5.6322,6.3913
mcf_250B,10.8446,9.3795,21.6377,23.6318,24.4788,27.8153
omnetpp_4B,50.9792,44.2133,29.0566,18.1320,63.4608,66.9971
soplex_66B,3.6582,1.0470,20.8729,14.5286,26.2167,19.6352
sphinx3_2520B,43.2247,44.1298,32.5867,29.3769,64.4656,86.2466
tonto_2834B,0.2559,0.0126,0.7301,0.0356,0.6197,0.0295
xalancbmk_768B,-30.5042,-6.9124,-5.4735,-1.8417,-3.8512,-0.7991
zeusmp_100B,-19.2313,-3.9149,-0.6098,-0.6947,0.1765,0.2391
mean/geomean,8.6735,4.9518,11.1051,5.4869,20.0087,12.2485
